	id	treatment	condition	day	bwc	burON	hr	hrv	temp	act
1	Ca_001	Transmitter	Carprofen	-1	100	71.9411639195878	453.559633027523	12.4321537037037	36.6116513761468	1064.84
2	Ca_001	Transmitter	Carprofen	0	87.5	44.6915351506456	660.589743589744	2.05186120689655	36.1839316239316	125.54
3	Ca_001	Transmitter	Carprofen	1	90.7608695652174	97.6394849785408	584.917431192661	4.84386666666666	37.4976146788991	407.34
4	Ca_001	Transmitter	Carprofen	2	92.9347826086957	99.0084985835694	538.036697247706	6.76795648148148	37.1374311926606	351.64
5	Ca_001	Transmitter	Carprofen	3	94.0217391304348	NA	482.155963302752	7.07286481481481	36.7105504587156	286.28
6	Ca_001	Transmitter	Carprofen	4	94.0217391304348	69.1601976005646	525.522935779817	7.13493981481481	37.0835779816514	387.3
7	Ca_001	Transmitter	Carprofen	5	96.7391304347826	NA	478.897196261682	7.16862962962963	36.6375700934579	897.8
8	Ca_001	Transmitter	Carprofen	6	97.8260869565217	NA	NA	NA	NA	NA
9	Ca_001	Transmitter	Carprofen	7	98.9130434782609	52.7324343506033	472.284403669725	7.69036203703703	36.3188073394495	707.06
10	Ca_001	Transmitter	Carprofen	8	98.9130434782609	NA	NA	NA	NA	NA
11	Ca_001	Transmitter	Carprofen	9	103.260869565217	NA	NA	NA	NA	NA
12	Ca_001	Transmitter	Carprofen	10	105.434782608696	NA	NA	NA	NA	NA
13	Ca_001	Transmitter	Carprofen	11	104.891304347826	NA	NA	NA	NA	NA
14	Ca_001	Transmitter	Carprofen	12	105.434782608696	NA	NA	NA	NA	NA
15	Ca_001	Transmitter	Carprofen	13	107.608695652174	NA	NA	NA	NA	NA
16	Ca_001	Transmitter	Carprofen	14	110.326086956522	NA	469.45871559633	11.8682592592593	36.5098165137615	899.08
17	Ca_001	Transmitter	Carprofen	15	110.326086956522	NA	NA	NA	NA	NA
18	Ca_001	Transmitter	Carprofen	16	108.152173913043	NA	NA	NA	NA	NA
19	Ca_001	Transmitter	Carprofen	17	109.239130434783	NA	NA	NA	NA	NA
20	Ca_001	Transmitter	Carprofen	18	110.869565217391	NA	NA	NA	NA	NA
21	Ca_001	Transmitter	Carprofen	19	113.586956521739	NA	NA	NA	NA	NA
22	Ca_001	Transmitter	Carprofen	20	113.586956521739	NA	NA	NA	NA	NA
23	Ca_001	Transmitter	Carprofen	21	111.95652173913	NA	NA	NA	NA	NA
24	Ca_001	Transmitter	Carprofen	22	114.130434782609	NA	NA	NA	NA	NA
25	Ca_001	Transmitter	Carprofen	23	109.239130434783	NA	NA	NA	NA	NA
26	Ca_001	Transmitter	Carprofen	24	115.760869565217	NA	NA	NA	NA	NA
27	Ca_001	Transmitter	Carprofen	25	113.586956521739	NA	NA	NA	NA	NA
28	Ca_001	Transmitter	Carprofen	26	114.130434782609	NA	NA	NA	NA	NA
29	Ca_001	Transmitter	Carprofen	27	113.04347826087	NA	NA	NA	NA	NA
30	Ca_001	Transmitter	Carprofen	28	114.67	NA	453.559633027523	12.4321537037037	36.6116513761468	1064.84
31	Ca_003	Transmitter	Carprofen	-1	100	94.368420838574	458.788990825688	17.4258185185185	36.681376146789	644.9
32	Ca_003	Transmitter	Carprofen	0	87.2448979591837	0	680.281818181818	1.41015925925926	35.6962727272727	202.86
33	Ca_003	Transmitter	Carprofen	1	87.2448979591837	54.1784702549575	623.110091743119	3.2924	37.2016513761468	168.68
34	Ca_003	Transmitter	Carprofen	2	89.7959183673469	100	579.256880733945	6.2634712962963	37.4130275229358	402.2
35	Ca_003	Transmitter	Carprofen	3	92.8571428571428	NA	491.605504587156	9.38808518518518	36.6187155963303	354.36
36	Ca_003	Transmitter	Carprofen	4	95.9183673469388	95.8156028368794	515.614678899083	9.96189166666666	36.985871559633	457.04
37	Ca_003	Transmitter	Carprofen	5	97.9591836734694	NA	461.869158878505	10.7747277777778	36.5705607476635	613.38
38	Ca_003	Transmitter	Carprofen	6	99.4897959183673	NA	NA	NA	NA	NA
39	Ca_003	Transmitter	Carprofen	7	102.040816326531	97.921146953405	488.192660550459	10.3427962962963	36.5275229357798	740.76
40	Ca_003	Transmitter	Carprofen	8	102.551020408163	NA	NA	NA	NA	NA
41	Ca_003	Transmitter	Carprofen	9	101.020408163265	NA	NA	NA	NA	NA
42	Ca_003	Transmitter	Carprofen	10	103.571428571429	NA	NA	NA	NA	NA
43	Ca_003	Transmitter	Carprofen	11	106.122448979592	NA	NA	NA	NA	NA
44	Ca_003	Transmitter	Carprofen	12	105.612244897959	NA	NA	NA	NA	NA
45	Ca_003	Transmitter	Carprofen	13	105.102040816327	NA	NA	NA	NA	NA
46	Ca_003	Transmitter	Carprofen	14	107.65306122449	NA	474.211009174312	14.8073925925926	36.507247706422	686.4
47	Ca_003	Transmitter	Carprofen	15	109.69387755102	NA	NA	NA	NA	NA
48	Ca_003	Transmitter	Carprofen	16	107.65306122449	NA	NA	NA	NA	NA
49	Ca_003	Transmitter	Carprofen	17	108.163265306122	NA	NA	NA	NA	NA
50	Ca_003	Transmitter	Carprofen	18	108.673469387755	NA	NA	NA	NA	NA
51	Ca_003	Transmitter	Carprofen	19	110.204081632653	NA	NA	NA	NA	NA
52	Ca_003	Transmitter	Carprofen	20	111.734693877551	NA	NA	NA	NA	NA
53	Ca_003	Transmitter	Carprofen	21	110.714285714286	NA	NA	NA	NA	NA
54	Ca_003	Transmitter	Carprofen	22	110.204081632653	NA	NA	NA	NA	NA
55	Ca_003	Transmitter	Carprofen	23	111.734693877551	NA	NA	NA	NA	NA
56	Ca_003	Transmitter	Carprofen	24	112.755102040816	NA	NA	NA	NA	NA
57	Ca_003	Transmitter	Carprofen	25	112.755102040816	NA	NA	NA	NA	NA
58	Ca_003	Transmitter	Carprofen	26	112.244897959184	NA	NA	NA	NA	NA
59	Ca_003	Transmitter	Carprofen	27	111.224489795918	NA	NA	NA	NA	NA
60	Ca_003	Transmitter	Carprofen	28	114.79	NA	458.788990825688	17.4258185185185	36.681376146789	644.9
61	Ca_006	Transmitter	Carprofen	-1	100	81.4786553272076	454.201834862385	13.9006757009346	36.4744036697248	1063.86
62	Ca_006	Transmitter	Carprofen	0	89.8477157360406	20.5440229062276	688.18	1.61135670103093	35.7853	115.19
63	Ca_006	Transmitter	Carprofen	1	89.3401015228426	72.4856321839081	608.403669724771	4.86896851851852	37.2871559633027	193.75
64	Ca_006	Transmitter	Carprofen	2	89.8477157360406	79.4579172610556	537.174311926605	7.49999259259259	36.9628440366972	528.03
65	Ca_006	Transmitter	Carprofen	3	90.8629441624365	NA	483.449541284404	8.48848796296296	36.8211926605505	490.75
66	Ca_006	Transmitter	Carprofen	4	90.8629441624365	71.4592274678112	521.238532110092	7.58865462962963	37.0177064220183	576.54
67	Ca_006	Transmitter	Carprofen	5	95.9390862944162	NA	449.560747663551	9.04116759259259	36.3951401869159	612.85
68	Ca_006	Transmitter	Carprofen	6	93.9086294416244	NA	NA	NA	NA	NA
69	Ca_006	Transmitter	Carprofen	7	97.4619289340101	87.4731567644953	443.660550458716	10.8125703703704	36.4378899082569	563.02
70	Ca_006	Transmitter	Carprofen	8	97.4619289340101	NA	NA	NA	NA	NA
71	Ca_006	Transmitter	Carprofen	9	100	NA	NA	NA	NA	NA
72	Ca_006	Transmitter	Carprofen	10	102.030456852792	NA	NA	NA	NA	NA
73	Ca_006	Transmitter	Carprofen	11	101.522842639594	NA	NA	NA	NA	NA
74	Ca_006	Transmitter	Carprofen	12	102.030456852792	NA	NA	NA	NA	NA
75	Ca_006	Transmitter	Carprofen	13	104.060913705584	NA	NA	NA	NA	NA
76	Ca_006	Transmitter	Carprofen	14	106.598984771574	NA	474.752293577982	12.6994962616822	36.5453211009174	957.3
77	Ca_006	Transmitter	Carprofen	15	107.61421319797	NA	NA	NA	NA	NA
78	Ca_006	Transmitter	Carprofen	16	106.598984771574	NA	NA	NA	NA	NA
79	Ca_006	Transmitter	Carprofen	17	107.106598984772	NA	NA	NA	NA	NA
