	id	treatment	condition	day	bw	bwc	score	mgs	mgs30	mgs180	bur2h	burON	hr	hrv	temp	act
1	Ca_001	Transmitter	Carprofen	-1	18.4	100	0	0.1	NA	NA	56.3960214472219	71.9411639195878	453.559633027523	12.4321537037037	36.6116513761468	1064.84
2	Ca_001	Transmitter	Carprofen	0	16.1	87.5	2	0.1125	0.861160714285714	0.3625	14.9210903873745	44.6915351506456	660.589743589744	2.05186120689655	36.1839316239316	125.54
3	Ca_001	Transmitter	Carprofen	1	16.7	90.7608695652174	2	0.19375	NA	NA	51.0729613733906	97.6394849785408	584.917431192661	4.84386666666666	37.4976146788991	407.34
4	Ca_001	Transmitter	Carprofen	2	17.1	92.9347826086957	2	0.165625	NA	NA	42.2804532577904	99.0084985835694	538.036697247706	6.76795648148148	37.1374311926606	351.64
5	Ca_001	Transmitter	Carprofen	3	17.3	94.0217391304348	1	NA	NA	NA	NA	NA	482.155963302752	7.07286481481481	36.7105504587156	286.28
6	Ca_001	Transmitter	Carprofen	4	17.3	94.0217391304348	1	0.065625	NA	NA	54.9047282992237	69.1601976005646	525.522935779817	7.13493981481481	37.0835779816514	387.3
7	Ca_001	Transmitter	Carprofen	5	17.8	96.7391304347826	0	NA	NA	NA	NA	NA	478.897196261682	7.16862962962963	36.6375700934579	897.8
8	Ca_001	Transmitter	Carprofen	6	18	97.8260869565217	0	0.1375	NA	NA	NA	NA	NA	NA	NA	NA
9	Ca_001	Transmitter	Carprofen	7	18.2	98.9130434782609	0	NA	NA	NA	45.4222853087296	52.7324343506033	472.284403669725	7.69036203703703	36.3188073394495	707.06
10	Ca_001	Transmitter	Carprofen	8	18.2	98.9130434782609	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	Ca_001	Transmitter	Carprofen	9	19	103.260869565217	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	Ca_001	Transmitter	Carprofen	10	19.4	105.434782608696	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	Ca_001	Transmitter	Carprofen	11	19.3	104.891304347826	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	Ca_001	Transmitter	Carprofen	12	19.4	105.434782608696	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	Ca_001	Transmitter	Carprofen	13	19.8	107.608695652174	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	Ca_001	Transmitter	Carprofen	14	20.3	110.326086956522	0	NA	NA	NA	NA	NA	469.45871559633	11.8682592592593	36.5098165137615	899.08
17	Ca_001	Transmitter	Carprofen	15	20.3	110.326086956522	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	Ca_001	Transmitter	Carprofen	16	19.9	108.152173913043	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	Ca_001	Transmitter	Carprofen	17	20.1	109.239130434783	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	Ca_001	Transmitter	Carprofen	18	20.4	110.869565217391	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	Ca_001	Transmitter	Carprofen	19	20.9	113.586956521739	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	Ca_001	Transmitter	Carprofen	20	20.9	113.586956521739	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	Ca_001	Transmitter	Carprofen	21	20.6	111.95652173913	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	Ca_001	Transmitter	Carprofen	22	21	114.130434782609	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	Ca_001	Transmitter	Carprofen	23	20.1	109.239130434783	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	Ca_001	Transmitter	Carprofen	24	21.3	115.760869565217	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
27	Ca_001	Transmitter	Carprofen	25	20.9	113.586956521739	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	Ca_001	Transmitter	Carprofen	26	21	114.130434782609	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	Ca_001	Transmitter	Carprofen	27	20.8	113.04347826087	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
30	Ca_001	Transmitter	Carprofen	28	21.1	114.67	0	NA	NA	NA	NA	NA	453.559633027523	12.4321537037037	36.6116513761468	1064.84
31	Ca_003	Transmitter	Carprofen	-1	19.6	100	0	0.1875	NA	NA	71.1259142066674	94.368420838574	458.788990825688	17.4258185185185	36.681376146789	644.9
32	Ca_003	Transmitter	Carprofen	0	17.1	87.2448979591837	2	0.375	1.29583333333333	0.216666666666667	0	0	680.281818181818	1.41015925925926	35.6962727272727	202.86
33	Ca_003	Transmitter	Carprofen	1	17.1	87.2448979591837	2	0.303125	NA	NA	1.06232294617564	54.1784702549575	623.110091743119	3.2924	37.2016513761468	168.68
34	Ca_003	Transmitter	Carprofen	2	17.6	89.7959183673469	2	0.078125	NA	NA	70.5966930265996	100	579.256880733945	6.2634712962963	37.4130275229358	402.2
35	Ca_003	Transmitter	Carprofen	3	18.2	92.8571428571428	2	NA	NA	NA	NA	NA	491.605504587156	9.38808518518518	36.6187155963303	354.36
36	Ca_003	Transmitter	Carprofen	4	18.8	95.9183673469388	1	0.1	NA	NA	72.0567375886525	95.8156028368794	515.614678899083	9.96189166666666	36.985871559633	457.04
37	Ca_003	Transmitter	Carprofen	5	19.2	97.9591836734694	0	NA	NA	NA	NA	NA	461.869158878505	10.7747277777778	36.5705607476635	613.38
38	Ca_003	Transmitter	Carprofen	6	19.5	99.4897959183673	0	0.1	NA	NA	NA	NA	NA	NA	NA	NA
39	Ca_003	Transmitter	Carprofen	7	20	102.040816326531	0	NA	NA	NA	85.3046594982079	97.921146953405	488.192660550459	10.3427962962963	36.5275229357798	740.76
40	Ca_003	Transmitter	Carprofen	8	20.1	102.551020408163	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
41	Ca_003	Transmitter	Carprofen	9	19.8	101.020408163265	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	Ca_003	Transmitter	Carprofen	10	20.3	103.571428571429	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	Ca_003	Transmitter	Carprofen	11	20.8	106.122448979592	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	Ca_003	Transmitter	Carprofen	12	20.7	105.612244897959	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
45	Ca_003	Transmitter	Carprofen	13	20.6	105.102040816327	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
46	Ca_003	Transmitter	Carprofen	14	21.1	107.65306122449	0	NA	NA	NA	NA	NA	474.211009174312	14.8073925925926	36.507247706422	686.4
