	id	treatment	condition	day	bwc	hr	hrv	temp	act
1	ID_800	CLP	Survivor	-1	100	598.05114	3.558372823	36.01163308	171.4571059
2	ID_800	CLP	Survivor	0	NA	543.6909091	5.703746429	35.145625	623.7319
3	ID_800	CLP	Survivor	1	NA	553.4333333	7.296076667	35.03236667	605.1921
4	ID_800	CLP	Survivor	2	NA	562.0333333	6.730678333	35.18395	513.1303
5	ID_800	CLP	Survivor	3	NA	512.2833333	6.83006	35.17138333	451.1567
6	ID_800	CLP	Survivor	4	NA	507.4166667	7.402331667	35.02043333	237.2632
7	ID_800	CLP	Survivor	5	NA	590.2586207	3.393220339	34.92586441	167.0946
8	ID_800	CLP	Survivor	6	NA	523.9333333	6.144895	35.05188333	364.9941
9	ID_800	CLP	Survivor	7	NA	517.1833333	7.144998333	34.71645	478.0285
10	ID_800	CLP	Survivor	8	NA	485.6833333	8.936388333	34.75188333	154.3043
11	ID_800	CLP	Survivor	9	NA	474.9166667	7.123275	34.82805	318.5119
12	ID_800	CLP	Survivor	10	NA	463.2333333	5.106373333	34.60945	9.2929
13	ID_800	CLP	Survivor	11	NA	465.1166667	5.102745	34.40541667	95.8885
14	ID_800	CLP	Survivor	12	NA	478.05	4.682798333	34.60518333	55.5596
15	ID_800	CLP	Survivor	13	NA	460.85	4.741861667	34.21886667	14.2292
16	ID_800	CLP	Survivor	14	NA	525.1	4.189606667	34.45478333	297.793
17	ID_800	CLP	Survivor	15	NA	503.9	3.594923333	34.49905	91.8939
18	ID_800	CLP	Survivor	16	94.73684211	572.877193	3.69042931	34.03231034	123.4607
19	ID_800	CLP	Survivor	17	NA	480.8	8.570126667	35.01641667	146.5188
20	ID_800	CLP	Survivor	18	NA	465.1833333	7.531768333	34.75608333	144.6191
21	ID_800	CLP	Survivor	19	NA	477.0689655	7.731015254	34.66972881	390.0173
22	ID_800	CLP	Survivor	20	NA	466.8666667	7.430241667	34.92201667	235.2588
23	ID_800	CLP	Survivor	21	NA	468.2931034	6.089055932	35.03286441	358.8702
24	ID_800	CLP	Survivor	22	NA	454.9833333	6.940468333	34.48025	284.2811
25	ID_800	CLP	Survivor	23	NA	489.1403509	7.020549153	35.16523729	205.7044
26	ID_800	CLP	Survivor	24	NA	439.6166667	8.589793333	35.28356667	148.9591
27	ID_800	CLP	Survivor	25	NA	481.35	5.261491667	34.95271667	141.4716
28	ID_800	CLP	Survivor	26	NA	485.8333333	5.428408333	35.14493333	281.0849
29	ID_800	CLP	Survivor	27	NA	478.7	5.766895	35.44721667	148.2988
30	ID_800	CLP	Survivor	28	NA	486.1666667	5.580993333	35.21491667	62.7989
31	ID_800	CLP	Survivor	29	NA	530.2241379	4.948405085	35.61413559	121.5745
32	ID_800	CLP	Survivor	30	NA	493.2833333	5.619875	35.99338333	334.5763
33	ID_800	CLP	Survivor	31	NA	494.2333333	5.480295	35.76061667	312.5027
34	ID_800	CLP	Survivor	32	NA	504.75	4.471216667	35.2442	296.4553
35	ID_800	CLP	Survivor	33	NA	539.2833333	3.88142	35.28615	352.3288
36	ID_800	CLP	Survivor	34	NA	530.8965517	5.151455	35.59441667	215.5978
37	ID_800	CLP	Survivor	35	NA	480.85	6.727878333	35.85206667	336.5079
38	ID_800	CLP	Survivor	36	NA	502.6833333	5.11058	35.64956667	1080.3582
39	ID_800	CLP	Survivor	37	NA	476.6333333	5.661063333	35.66976667	377.3416
40	ID_800	CLP	Survivor	38	NA	511.0333333	4.924961667	35.4652	216.1526
41	ID_800	CLP	Survivor	39	NA	524.6666667	4.219265	35.5427	58.9587
42	ID_800	CLP	Survivor	40	96.7611336	502.0769231	4.784794872	35.4645641	47.8797
43	ID_801	CLP	Endpoint	-1	100	568.3839945	7.168680504	34.87183151	472.0507706
44	ID_801	CLP	Endpoint	0	NA	469	1.557627586	31.80065517	52.7595
45	ID_801	CLP	Endpoint	1	NA	577.3166667	2.865385	32.21415	54.8717
46	ID_801	CLP	Endpoint	2	NA	592.4666667	1.779076667	32.41746667	41.3068
