	id	treatment	condition	day	bwc	hr	hrv	temp	act
1	Ca_001	stress_dss	TM	-1	100	459	12.75193444	36.63002859	1023.31
2	Ca_001	stress_dss	TM	0	100.4444444	488	11.01062294	36.62495413	483.92
3	Ca_001	stress_dss	TM	1	101.3333333	444	12.32245596	36.63238532	693.6
4	Ca_001	stress_dss	TM	2	100	441	13.38651284	36.47577982	674.2
5	Ca_001	stress_dss	TM	3	98.66666667	431	13.59043853	36.40642202	727.58
6	Ca_001	stress_dss	TM	4	98.22222222	446	10.54937431	36.41972477	391.92
7	Ca_001	stress_dss	TM	5	91.55555556	489	8.586965138	36.94633028	469.4
8	Ca_001	stress_dss	TM	6	83.11111111	493	7.686665138	36.67963303	225.66
9	Ca_001	stress_dss	TM	7	80.44444444	482	6.933025688	36.47458716	147.4
10	Ca_001	stress_dss	TM	8	NA	NA	NA	NA	NA
11	Ca_001	stress_dss	TM	9	NA	NA	NA	NA	NA
12	Ca_001	stress_dss	TM	10	NA	NA	NA	NA	NA
13	Ca_001	stress_dss	TM	11	NA	NA	NA	NA	NA
14	Ca_001	stress_dss	TM	12	NA	NA	NA	NA	NA
15	Ca_001	stress_dss	TM	13	NA	NA	NA	NA	NA
16	Ca_002	stress_dss	sham	-1	100	NA	NA	NA	NA
17	Ca_002	stress_dss	sham	0	97.52475248	NA	NA	NA	NA
18	Ca_002	stress_dss	sham	1	100.990099	NA	NA	NA	NA
19	Ca_002	stress_dss	sham	2	100.4950495	NA	NA	NA	NA
20	Ca_002	stress_dss	sham	3	100	NA	NA	NA	NA
21	Ca_002	stress_dss	sham	4	98.01980198	NA	NA	NA	NA
22	Ca_002	stress_dss	sham	5	92.07920792	NA	NA	NA	NA
23	Ca_002	stress_dss	sham	6	84.65346535	NA	NA	NA	NA
24	Ca_002	stress_dss	sham	7	84.15841584	NA	NA	NA	NA
25	Ca_002	stress_dss	sham	8	80.69306931	NA	NA	NA	NA
26	Ca_002	stress_dss	sham	9	NA	NA	NA	NA	NA
27	Ca_002	stress_dss	sham	10	NA	NA	NA	NA	NA
28	Ca_002	stress_dss	sham	11	NA	NA	NA	NA	NA
29	Ca_002	stress_dss	sham	12	NA	NA	NA	NA	NA
30	Ca_002	stress_dss	sham	13	NA	NA	NA	NA	NA
31	Ca_003	stress_dss	TM	-1	100	468	17.08589933	36.60018083	697.07
32	Ca_003	stress_dss	TM	0	99.15254237	496	12.81000826	36.59715596	365.9
33	Ca_003	stress_dss	TM	1	99.15254237	455	17.34930917	36.37990826	429.05
34	Ca_003	stress_dss	TM	2	98.30508475	442	15.8504963	36.30183486	610.73
35	Ca_003	stress_dss	TM	3	98.30508475	439	16.53059358	36.47	403.72
36	Ca_003	stress_dss	TM	4	94.49152542	431	15.43386606	36.23119266	453.72
37	Ca_003	stress_dss	TM	5	88.13559322	507	8.959078704	36.79045872	350.28
38	Ca_003	stress_dss	TM	6	NA	NA	NA	NA	NA
39	Ca_003	stress_dss	TM	7	NA	NA	NA	NA	NA
40	Ca_003	stress_dss	TM	8	NA	NA	NA	NA	NA
41	Ca_003	stress_dss	TM	9	NA	NA	NA	NA	NA
42	Ca_003	stress_dss	TM	10	NA	NA	NA	NA	NA
43	Ca_003	stress_dss	TM	11	NA	NA	NA	NA	NA
44	Ca_003	stress_dss	TM	12	NA	NA	NA	NA	NA
45	Ca_003	stress_dss	TM	13	NA	NA	NA	NA	NA
46	Ca_004	stress_dss	sham	-1	100	NA	NA	NA	NA
47	Ca_004	stress_dss	sham	0	96.75925926	NA	NA	NA	NA
48	Ca_004	stress_dss	sham	1	97.68518519	NA	NA	NA	NA
49	Ca_004	stress_dss	sham	2	96.75925926	NA	NA	NA	NA
50	Ca_004	stress_dss	sham	3	95.83333333	NA	NA	NA	NA
51	Ca_004	stress_dss	sham	4	92.12962963	NA	NA	NA	NA
52	Ca_004	stress_dss	sham	5	85.64814815	NA	NA	NA	NA
53	Ca_004	stress_dss	sham	6	82.87037037	NA	NA	NA	NA
54	Ca_004	stress_dss	sham	7	NA	NA	NA	NA	NA
55	Ca_004	stress_dss	sham	8	NA	NA	NA	NA	NA
56	Ca_004	stress_dss	sham	9	NA	NA	NA	NA	NA
57	Ca_004	stress_dss	sham	10	NA	NA	NA	NA	NA
58	Ca_004	stress_dss	sham	11	NA	NA	NA	NA	NA
59	Ca_004	stress_dss	sham	12	NA	NA	NA	NA	NA
60	Ca_004	stress_dss	sham	13	NA	NA	NA	NA	NA
61	Ca_006	stress_dss	TM	-1	100	475.1081638	13.52579357	36.51444821	942.43
62	Ca_006	stress_dss	TM	0	97.89029536	525.7798165	8.456458333	36.7759633	406.3
63	Ca_006	stress_dss	TM	1	98.31223629	474.6146789	11.29819817	36.67238532	410.62
64	Ca_006	stress_dss	TM	2	98.73417722	448.440367	12.57107615	36.66146789	672.08
65	Ca_006	stress_dss	TM	3	98.73417722	449.6697248	11.801825	36.50458716	434.74
66	Ca_006	stress_dss	TM	4	98.31223629	444.6146789	12.41514679	36.47981651	546.94
67	Ca_006	stress_dss	TM	5	93.24894515	473.5963303	9.765674312	36.75091743	387.24
68	Ca_006	stress_dss	TM	6	89.45147679	466.6972477	9.91889633	36.51706422	285.21
69	Ca_006	stress_dss	TM	7	88.18565401	460.7614679	8.460737615	36.31550459	342.65
70	Ca_006	stress_dss	TM	8	89.87341772	450.6146789	9.830646789	36.43477064	274.19
71	Ca_006	stress_dss	TM	9	94.51476793	449.559633	10.11501468	36.23009174	372.47
72	Ca_006	stress_dss	TM	10	98.73417722	379.6788991	16.78754679	36.10981651	462.12
73	Ca_006	stress_dss	TM	11	100.8438819	380.6146789	18.84978807	35.83715596	847.32
74	Ca_006	stress_dss	TM	12	98.31223629	400.2110092	18.33344954	36.1212844	953.96
75	Ca_006	stress_dss	TM	13	99.57805907	386.0091743	20.84493211	36.08633028	882.74
76	Ca_007	stress_dss	sham	-1	100	NA	NA	NA	NA
77	Ca_007	stress_dss	sham	0	98.94736842	NA	NA	NA	NA
78	Ca_007	stress_dss	sham	1	97.36842105	NA	NA	NA	NA
79	Ca_007	stress_dss	sham	2	97.89473684	NA	NA	NA	NA
80	Ca_007	stress_dss	sham	3	98.42105263	NA	NA	NA	NA
